timestamp,strikePrice,Theo ES,call_oi,put_oi,call_vol,put_vol,adj call vol,adj put vol,total vol,adj sum,TV Rank,Call TV Rank,Put TV Rank,Adj Rank,Call Adj Rank,Put Adj Rank
2025-05-29 12:47:27,4425.0,4437.5,1,661,0,0,-1,-661,0,-662,,,,,,
2025-05-29 12:47:27,4450.0,4462.5,0,7223,0,15,0,-7208,15,-7208,,,,,,
2025-05-29 12:47:27,4475.0,4487.5,0,114239,0,0,0,-114239,0,-114239,,,,,,
2025-05-29 12:47:27,4500.0,4512.5,25,38060,2,64,-23,-37996,66,-38019,,,,,,
2025-05-29 12:47:27,4525.0,4537.5,1,115674,0,96,-1,-115578,96,-115579,,,,,,
2025-05-29 12:47:27,4550.0,4562.5,21,56577,0,122,-21,-56455,122,-56476,,,,,,
2025-05-29 12:47:27,4575.0,4587.5,3,713,0,0,-3,-713,0,-716,,,,,,
2025-05-29 12:47:27,4600.0,4612.5,39,65685,48,583,9,-65102,631,-65093,,,,,,
2025-05-29 12:47:27,4610.0,4622.5,3,310,0,0,-3,-310,0,-313,,,,,,
2025-05-29 12:47:27,4620.0,4632.5,4,242,0,12,-4,-230,12,-234,,,,,,
2025-05-29 12:47:27,4625.0,4637.5,1,943,0,0,-1,-943,0,-944,,,,,,
2025-05-29 12:47:27,4630.0,4642.5,0,286,0,0,0,-286,0,-286,,,,,,
2025-05-29 12:47:27,4640.0,4652.5,0,616,0,0,0,-616,0,-616,,,,,,
2025-05-29 12:47:27,4650.0,4662.5,29,1762,0,8,-29,-1754,8,-1783,,,,,,
2025-05-29 12:47:27,4660.0,4672.5,5,498,0,0,-5,-498,0,-503,,,,,,
2025-05-29 12:47:27,4670.0,4682.5,2,1578,0,0,-2,-1578,0,-1580,,,,,,
2025-05-29 12:47:27,4675.0,4687.5,0,10227,0,0,0,-10227,0,-10227,,,,,,
2025-05-29 12:47:27,4680.0,4692.5,2,496,0,0,-2,-496,0,-498,,,,,,
2025-05-29 12:47:27,4690.0,4702.5,0,267,0,0,0,-267,0,-267,,,,,,
2025-05-29 12:47:27,4700.0,4712.5,137,31827,5,393,-132,-31434,398,-31566,,,,,,
2025-05-29 12:47:27,4710.0,4722.5,2,3156,0,0,-2,-3156,0,-3158,,,,,,
2025-05-29 12:47:27,4720.0,4732.5,1,520,0,0,-1,-520,0,-521,,,,,,
2025-05-29 12:47:27,4725.0,4737.5,2,697,0,1,-2,-696,1,-698,,,,,,
2025-05-29 12:47:27,4730.0,4742.5,0,3237,0,0,0,-3237,0,-3237,,,,,,
2025-05-29 12:47:27,4740.0,4752.5,0,232,0,0,0,-232,0,-232,,,,,,
2025-05-29 12:47:27,4750.0,4762.5,165,8833,1,1,-164,-8832,2,-8996,,,,,,
2025-05-29 12:47:27,4760.0,4772.5,5,627,0,0,-5,-627,0,-632,,,,,,
2025-05-29 12:47:27,4770.0,4782.5,0,548,0,0,0,-548,0,-548,,,,,,
2025-05-29 12:47:27,4775.0,4787.5,17,1603,0,2,-17,-1601,2,-1618,,,,,,
2025-05-29 12:47:27,4780.0,4792.5,3,185,0,0,-3,-185,0,-188,,,,,,
2025-05-29 12:47:27,4790.0,4802.5,3,668,0,0,-3,-668,0,-671,,,,,,
2025-05-29 12:47:27,4800.0,4812.5,91,28641,4,245,-87,-28396,249,-28483,,,,,,
2025-05-29 12:47:27,4810.0,4822.5,24,374,0,0,-24,-374,0,-398,,,,,,
2025-05-29 12:47:27,4820.0,4832.5,2,270,0,0,-2,-270,0,-272,,,,,,
2025-05-29 12:47:27,4825.0,4837.5,2,1251,0,6,-2,-1245,6,-1247,,,,,,
2025-05-29 12:47:27,4830.0,4842.5,0,185,0,0,0,-185,0,-185,,,,,,
2025-05-29 12:47:27,4840.0,4852.5,0,277,0,0,0,-277,0,-277,,,,,,
2025-05-29 12:47:27,4850.0,4862.5,14,13327,0,3,-14,-13324,3,-13338,,,,,,
2025-05-29 12:47:27,4860.0,4872.5,5,129,0,0,-5,-129,0,-134,,,,,,
2025-05-29 12:47:27,4870.0,4882.5,2,224,0,0,-2,-224,0,-226,,,,,,
2025-05-29 12:47:27,4875.0,4887.5,2,600,0,14,-2,-586,14,-588,,,,,,
2025-05-29 12:47:27,4880.0,4892.5,0,152,0,0,0,-152,0,-152,,,,,,
2025-05-29 12:47:27,4890.0,4902.5,0,936,0,0,0,-936,0,-936,,,,,,
2025-05-29 12:47:27,4900.0,4912.5,179,31463,3,139,-176,-31324,142,-31500,,,,,,
2025-05-29 12:47:27,4910.0,4922.5,29,3177,0,0,-29,-3177,0,-3206,,,,,,
2025-05-29 12:47:27,4915.0,4927.5,1,280,0,0,-1,-280,0,-281,,,,,,
2025-05-29 12:47:27,4920.0,4932.5,30,706,0,0,-30,-706,0,-736,,,,,,
2025-05-29 12:47:27,4925.0,4937.5,10,1775,0,1,-10,-1774,1,-1784,,,,,,
2025-05-29 12:47:27,4930.0,4942.5,0,330,0,0,0,-330,0,-330,,,,,,
